"musicaudition_id"|"musicauditionname"|"musicauditionstartdate"|"musicauditionenddate"|"musicauditionlocation"|"starttime"|"endtime"|"duration"|"lastupdate"|"staffid"|"remarks"
13|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2020"|"20200919"|"20200920"|"AUDITION VENUE: Room 1801, 18/F, Park Commercial Centre, 180 Tung Lo Wan Road, Tin Hau
試演地點：香港天后銅鑼灣道180號百樂商業中心 18樓 1801室"|"090000"|"200000"|30|"20200905120238"|"AA00079"|""
14|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2021"|"20210920"|"20210924"|"AUDITION VENUE: HKFA, Rm 1801 Park Commercial Centre, 180 Tung Lo Wan Road, Tin Hau 
試演地點：香港天后銅鑼灣道180號百樂商業中心18樓 1801室"|"160000"|"205500"|30|"20210906154421"|"AA00079"|""
15|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2020 (13 NOV 2020)"|"20201113"|"20201113"|"AUDITION VENUE: Room 1801, 18/F, Park Commercial Centre, 180 Tung Lo Wan Road, Tin Hau
試演地點：香港天后銅鑼灣道180號百樂商業中心 18樓 1801室"|"170000"|"190000"|0|"20201107131327"|"AA00061"|""
5|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2012"|"20120922"|"20120924"|"3/F, The Excelsior Hotel, 281 Gloucester Road , Causeway Bay, Hong Kong"|"100000"|"183000"|30|"20120703002126"|""|""
11|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2018"|"20180922"|"20180924"|"AUDITION VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"190000"|30|"20180921152043"|"AA00007"|""
6|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2013"|"20130921"|"20130923"|"3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"183000"|30|"20130711201721"|""|""
7|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2014"|"20140927"|"20140929"|"AUDITION VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"190000"|30|"20140626222447"|"AA00003"|""
9|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2016"|"20160917"|"20160919"|"AUDITION VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"190000"|30|"20160706114354"|""|""
8|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2015"|"20150919"|"20150921"|"AUDITION VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"183000"|30|"20150624193002"|"AA00003"|""
10|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2017"|"20170923"|"20170925"|"AUDITION VENUE: 3/F, The Excelsior Hotel, 281 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道 281 號,怡東酒店3樓"|"090000"|"190000"|30|"20170511112736"|"AA00061"|""
12|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2019"|"20190921"|"20190922"|"AUDITION VENUE: Level 28, The Park Lane Hotel, 310 Gloucester Road, Causeway Bay, Hong Kong
試演地點：香港銅鑼灣告士打道310號 香港栢寧酒店 28樓全層"|"080000"|"190000"|30|"20190803212741"|"AA00007"|""
18|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2024"|"20240921"|"20240922"|"AUDITION VENUE: Level 26, The Park Lane Hotel, 310 Gloucester Road, Causeway Bay, Hong Kong
試演地點: 香港銅鑼灣告士打道310號 香港栢寧酒店 26樓"|"090000"|"200000"|30|"20240906191016"|"AA00082"|""
16|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2022"|"20220919"|"20220922"|"AUDITION VENUE: HKFA, Rm 1801 Park Commercial Centre, 180 Tung Lo Wan Road, Tin Hau 
試演地點：香港天后銅鑼灣道180號百樂商業中心18樓 1801室"|"160000"|"205500"|30|"20220914124317"|"AA00079"|""
17|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2023"|"20230923"|"20230924"|"AUDITION VENUE: 14/F, China Taiping Tower Phase II, 8 Sunning Road, Causeway Bay, Hong Kong
香港銅鑼灣新寧道8號中國太平大廈2期14樓"|"090000"|"200000"|30|"20230822220012"|"AA00007"|""
19|"MUSIC AUDITION-TOP SCHOOLS WEEKEND 2025"|"20250920"|"20250921"|"tbc"|"090000"|"200000"|30|"20250422160014"|"AA00098"|""
