"school_id"|"detailtype"|"detail"|"case"|"lastupdate"|"staffid"
325|"ACADEMIC"|"Pre-AL (ISC)
Students joining in September can be entered for IGCSE exams
in English, Maths, Physics and Chemistry the following June.
* if entry in Jan or Apr, only English"|"N"|"20140603105247"|""
213|"ACCOMMODATION"|"* Most of our accommodation is located within the manor house, many of the rooms have superb views across the country estate and beyond to the New Forest.
* Accommodation is arranged in both single rooms and small dormitories"|"N"|"20140814112542"|"AA00006"
501|"ACADEMIC"|"some students progress to fashion design and art foundation courses including Central St Martin's"|"N"|"20140605123845"|""
20|"ACADEMIC"|"* Offer Economics, Electronics, Psychology, Computing in AL
* Offe Pre-U in Art & Design, Biology, History, Literature in English
* Offer Computing, Sociology in GCSE

20160211: AL subjects choice: 
pupils can now only opt for three A-level subjects. The only exception to the rule is if they choose to study Maths and Further Maths in which case they can choose two further options."|"N"|"20160211110705"|""
18|"ACTIVITIES"|"Lots of activities for students, DoE, Climbing; Yoga; Ballet; Life Saving; Dance; Riding; Rifle Shooting; Squash; Tennis; Fencing; Karate; Kayaking; Polo; Equestrian; Golf; Sailing; Trampolining; Stretch and Flex; Skiing."|"N"|"20140617134508"|"AA00006"
71|"ACCOMMODATION"|"* 6th form option of single or double rooms
* 5 houses - 1 junior, 2 senior boys and 2 senior girls"|"N"|"20140911160940"|"AA00006"
18|"SCHOOL"|"*1899/ 40 acres
* Meticulous planting makes an attractive site with the main boarding houses and teaching facilities forming a crescent round a green expanse of playing fields 
*  The undoubted advantage of an all boys' school in the same small market town means the girls can share entertainment and have sensible and reasonably safe access to town life
* Sherborne is one of the few true boarding schools remaining with only about 30 day girls (seven per cent). Day girls are allocated to boarding houses and given their own space (some even their own bed) there. They can stay for the occasional night
* All boarders are full boarders
* Saturday school
* About 10 per cent come from Hong Kong and elsewhere: Dubai, Nigeria etc plus Europe since IB was introduced (GSG)
* Destination: Bristol, 
 Durham, Edinburgh, Exeter, Newcastle, Oxford Brookes and London LSE imperial and UCL currently leading the pack. A few to Oxbridge most years and several to art schools (GSG)
* Leiths School of Cookery Basic Certificate in Food and Wine
* 2013, 1 Oxbridge, 1 CUHK, Newcastle, Edingburgh, Durham, Leeds, LSE, UCL, Exeter, Bristol

GSG Review

No longer the stuffy warhorse of girls’ education, though its academic standards are undiminished! Parents appreciate that its good teaching avoids hot housing and encourages a balance of activities. A real gem amongst the girls’ only full-boarding schools with all the advantages of its symbiotic proximity to Sherborne boys'."|"N"|"20140617135043"|"AA00006"
337|"ACCOMMODATION"|"10 boarding houses and 6 day houses"|"N"|"20140621003446"|""
291|"ACADEMIC"|"* Offer Graphics, Pscyhology, Sociology, Photography and Travel and Tourism in AL
* Gifted and Talented team - offer Advanced performance programme"|"N"|"20140915152718"|"AA00006"
322|"ACADEMIC"|"* Offer Mandarin in KS3 and AL (only for native speaker for AL)
* Offer AL Photography, English, English Literature, Pre-U English,"|"N"|"20140703164137"|"AA00006"
177|"SCHOOL"|"* The British students are mainly from professional families.
* overseas students mainly come from Hong Kong, China, Spanish."|"N"|"20141204170315"|"AA00006"
291|"SPORTS"|"* major team games are rugby, football, cricket and athletics for boys and hockey, netball, rounders, soccer and athletics for girls.
* We also have school teams in rugby sevens, cross country, squash, tennis, polo and cheerleading, to name but a few. * Karate is very popular from an early age and a number of pupils have achieved their black belts."|"N"|"20140915152928"|"AA00006"
558|"APPLICATION PROCEDURE"|"* Reg fee is only required for lower form, sixth form application does not require to pay reg fee"|"N"|"20141211134332"|"AA00006"
140|"ACADEMIC"|"* Offer Politics, Philosophy & Ethics, Economics,Psychology, Theatre Studies in AL"|"N"|"20141117163925"|"AA00006"
155|"ACTIVITIES"|"cake decorating, fashion design, jewellery, model and soft toy making, dance, electronics, D of E, CCF (all three sections);"|"N"|"20141229125045"|"AA00006"
261|"School"|"* Football_major"|"N"|"20140417113245"|"AA00007"
291|"ACTIVITIES"|"* Cookery
* rowing, sailing at sailing club and remote-control car club
* Riding team compete regularly"|"N"|"20140915152959"|"AA00006"
189|"ACADEMIC"|"Offer Media Studies, Psychology in AL
* Offer 1 year foundation course with Core GCSEs (4 GCSE), Completion of the Foundation Course does not guarantee a student entry on to the A Level programme. If a student would like to be considered for an A Level place they must make significant progress on the course and show a willingness to work and a motivated and positive attitude."|"N"|"20141215171011"|"AA00006"
611|"SPORTS"|"* Strong in hockey
* Gloucestershir cricket club runs a satellite academy at the school"|"N"|"20140915161411"|"AA00006"
87|"SPORTS"|"Football Academy with coaches holding UEFA  A Licence."|"N"|"20170331123818"|""
413|"SPORTS"|"*traditional sports to archery and windsurfing
*Extensive playing fields and courts of every shape and size, cross-country course through their own woodland, indoor swimming pool and sports complex.
*All sporting facilities are well utilised and operate as a local sports centre for the public, parents and local clubs, adding to the community feel of the school.
* Football, has senior football team, cross country"|"N"|"20140915181619"|"AA00006"
316|"AA ONLY"|"* suitable for students keen on sport
* slow feedback"|"N"|"20141120154121"|"AA00006"
460|"MUSIC"|"* playing host throughout the day to approximately 250 individual music lessons, band and ensemble rehearsals and concerts.
* The Senior School has staged 35 concerts in the past academic year. Performances ranged from concerts devoted to string and brass instruments, to orchestral and Year group specific events."|"N"|"20150305125345"|"AA00006"
508|"APPLICATION PROCEDURE"|"20181027:
offer will be subject to school reference"|"N"|"20181027235629"|""
676|"SPORTS"|"* six hole golf course
* Everything from the usual hockey, netball, rugby and cricket to ballet, riding, street dance and cross country on offer,"|"N"|"20150916173651"|"AA00006"
508|"ACADEMIC"|"* offer IB from 2013 
* Compulsory RE to GCSE, non-examined theology/ethics in sixth form
* Good DT Dept
* Offer in Music, Politics, Fine Art, Theology in AL
* offer summer school"|"N"|"20140819113540"|"AA00006"
209|"FEATURE"|"20160719: Animal Management Centre"|"N"|"20160719175327"|""
604|"SPORTS"|"Hockey, Netball, Football, Cross Country, Tennis, Swimming, Rounders and Athletics"|"N"|"20140603110511"|""
36|"ACCOMMODATION"|"201605:
Boarding House System:

Vertical Y9 - Y12: stay in same house, 2 students share a room
2 Girls House (1 Day 1 boarding) 4 Boys House (1 Day,2 boarding, 1 day & flexi)
Upper Sixth Form House (Woodard) : newly furbished, new and spacious. Co-ed boarding  
No full boarders in prep school"|"N"|"20160724173226"|""
